
algorithm,	n,	result,	num_runs,	Overall,	Color rest,	Color CSDP
CSDP Color,	20,	1,	1,	0.636198,	0.00287137,	0.63328
CSDP Color,	21,	1,	1,	0.872803,	0.00376062,	0.868982
CSDP Color,	22,	1,	1,	1.59759,	0.00536067,	1.59215
CSDP Color,	23,	1,	1,	2.11107,	0.00560568,	2.10538
CSDP Color,	24,	1,	1,	1.84047,	0.0060429,	1.83427
CSDP Color,	25,	1,	1,	3.16591,	0.00734598,	3.15845
CSDP Color,	26,	1,	1,	4.50244,	0.00801439,	4.4943
CSDP Color,	27,	1,	1,	3.78773,	0.00818285,	3.77942
CSDP Color,	28,	1,	1,	4.9341,	0.00963704,	4.92433
CSDP Color,	29,	1,	1,	5.90188,	0.010472,	5.89125
CSDP Color,	30,	1,	1,	7.13192,	0.0114323,	7.1203
CSDP Color,	31,	1,	1,	9.20581,	0.0120205,	9.19361
CSDP Color,	32,	1,	1,	11.1377,	0.0162275,	11.1213
CSDP Color,	33,	1,	1,	11.7915,	0.0163694,	11.7749
CSDP Color,	34,	1,	1,	22.0374,	0.0221987,	22.015
CSDP Color,	35,	1,	1,	29.9652,	0.023551,	29.9414
CSDP Color,	36,	1,	1,	21.5309,	0.0231411,	21.5075
CSDP Color,	37,	1,	1,	24.9411,	0.0264935,	24.9143
CSDP Color,	38,	1,	1,	30.0441,	0.0315093,	30.0123
CSDP Color,	39,	1,	1,	34.3544,	0.0327613,	34.3213
CSDP Color,	40,	1,	1,	51.0268,	0.045727,	50.9807
