
algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	NC 1,	NC 2,	NC 3,	Test NC Rest,	Test NC Shortest Paths
Perfect,	20,	1,	1,	0.0970497,	0.00331356,	5e-07,	0.000168498,	0.0450764,	0.0233278,	0.0205601,	0.00454285
Perfect,	21,	1,	1,	0.123075,	0.00420584,	6e-07,	0.000194293,	0.05759,	0.0274122,	0.0276375,	0.00596317
Perfect,	22,	1,	1,	0.136272,	0.00507764,	6e-07,	0.000212198,	0.0679833,	0.0337696,	0.0239866,	0.00518204
Perfect,	23,	1,	1,	0.179918,	0.00573829,	2.4e-06,	0.000234292,	0.0853073,	0.0404066,	0.0401816,	0.00794991
Perfect,	24,	1,	1,	0.209847,	0.00717461,	7e-07,	0.000241597,	0.0983715,	0.047267,	0.0473438,	0.00931989
Perfect,	25,	1,	1,	0.253827,	0.00903345,	6e-07,	0.000319787,	0.122663,	0.0554151,	0.0553853,	0.010875
Perfect,	26,	1,	1,	0.287951,	0.00938365,	7e-07,	0.000350686,	0.138982,	0.0681398,	0.0593879,	0.0115768
Perfect,	27,	1,	1,	0.348864,	0.0109314,	1.8e-06,	0.000353886,	0.163827,	0.0773363,	0.0817231,	0.0145425
Perfect,	28,	1,	1,	0.381156,	0.0131849,	2.8e-06,	0.000423284,	0.190081,	0.0876538,	0.0758264,	0.013801
Perfect,	29,	1,	1,	0.483768,	0.0142967,	8e-07,	0.000418085,	0.235442,	0.101527,	0.112023,	0.0198563
Perfect,	30,	1,	1,	0.541513,	0.0163218,	8e-07,	0.000474982,	0.257586,	0.118259,	0.126631,	0.0220246
Perfect,	31,	1,	1,	0.648405,	0.0184201,	7e-07,	0.000502294,	0.361191,	0.136907,	0.109828,	0.0212325
Perfect,	32,	1,	1,	0.794933,	0.0208069,	6e-07,	0.000485481,	0.417857,	0.154944,	0.168775,	0.0315347
Perfect,	33,	1,	1,	0.923029,	0.0234853,	6e-07,	0.00054508,	0.495415,	0.171436,	0.196394,	0.0351548
Perfect,	34,	1,	1,	1.0465,	0.0269766,	7e-07,	0.00103746,	0.569165,	0.192261,	0.21809,	0.0382957
