algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	Test NC Shortest Paths,	Test NC Rest,	GPU Test NC Copy R,	GPU Test NC work
Perfect     ,	2,	1,	1,	2.08e-05,	6.1e-06,	1.28e-05,	 - ,	 - ,	 - ,	 - 
Perfect     ,	3,	1,	2,	0.000112399,	1.005e-05,	9.61485e-05,	5.5e-06(1),	4.7e-06(1),	 - ,	 - 
Perfect     ,	5,	1,	1,	0.00741712,	9.0899e-05,	0.00730052,	1.27e-05,	1.1e-05,	 - ,	 - 
Perfect     ,	6,	1,	2,	0.00985663,	0.000217248,	0.00954198,	4.4699e-05,	4.96995e-05,	 - ,	 - 
Perfect     ,	7,	1,	2,	0.00468173,	0.00238156,	0.00195717,	0.000126749,	0.000211746,	 - ,	 - 
Perfect     ,	8,	1,	3,	0.00804373,	0.00115975,	0.00508377,	0.000553627,	0.00123629,	 - ,	 - 
Perfect     ,	9,	1,	3,	0.0323936,	0.00316743,	0.0254174,	0.000891791,	0.00290486,	 - ,	 - 
Perfect     ,	10,	1,	1,	0.0284958,	0.00329325,	0.0165424,	0.00206306,	0.0065769,	 - ,	 - 
Perfect     ,	11,	1,	2,	0.0372433,	0.00735509,	0.0205972,	0.00228337,	0.00698554,	 - ,	 - 
Perfect     ,	12,	1,	5,	0.127927,	0.0103039,	0.043661,	0.0137435,	0.0601339,	 - ,	 - 
Perfect     ,	13,	1,	1,	0.231623,	0.0250991,	0.0625961,	0.023217,	0.12061,	 - ,	 - 
Perfect     ,	14,	1,	4,	0.366277,	0.0253722,	0.0958108,	0.0385427,	0.206389,	 - ,	 - 
Perfect     ,	15,	1,	5,	0.711704,	0.0424144,	0.150121,	0.072315,	0.446621,	 - ,	 - 
Perfect     ,	16,	1,	2,	1.03838,	0.0504623,	0.203625,	0.102908,	0.680852,	 - ,	 - 
Perfect     ,	17,	1,	3,	2.08431,	0.0800576,	0.303946,	0.20944,	1.49033,	 - ,	 - 
Perfect     ,	18,	1,	5,	2.94877,	0.101258,	0.425206,	0.27957,	2.14204,	 - ,	 - 
Perfect     ,	19,	1,	6,	3.68528,	0.15282,	0.548273,	0.341406,	2.64204,	 - ,	 - 
Perfect     ,	20,	1,	6,	5.91999,	0.191987,	0.724197,	0.540446,	4.46235,	 - ,	 - 
Perfect     ,	21,	1,	2,	7.42852,	0.244775,	0.910911,	0.66638,	5.60525,	 - ,	 - 
Perfect     ,	22,	1,	2,	10.7874,	0.318722,	1.22575,	0.917075,	8.32461,	 - ,	 - 
Perfect     ,	23,	1,	3,	16.3796,	0.419464,	1.64216,	1.36444,	12.9516,	 - ,	 - 
Perfect     ,	24,	1,	1,	21.0341,	0.512868,	1.95324,	1.80895,	16.7568,	 - ,	 - 
Perfect     ,	25,	1,	2,	30.0229,	0.640413,	2.46633,	2.58974,	24.3231,	 - ,	 - 
