
algorithm,	n,	result,	num_runs,	Overall,	Simple Structures,	Get Near Cleaners,	NC 1,	NC 2,	NC 3,	Test NC Rest,	Test NC Shortest Paths
Perfect,	16,	1,	1,	0.252835,	0.00276314,	7e-07,	9.4199e-05,	0.017717,	0.0221265,	0.186765,	0.0230471
Perfect,	17,	1,	1,	0.329329,	0.00358313,	2.3e-06,	0.000112298,	0.0226068,	0.0287838,	0.244098,	0.0297641
Perfect,	18,	1,	1,	0.454193,	0.0048402,	2.2e-06,	0.000131098,	0.0298052,	0.0355761,	0.34321,	0.0401317
Perfect,	19,	1,	1,	0.607693,	0.00751356,	6e-07,	0.000164796,	0.0361948,	0.0468737,	0.465349,	0.0510016
Perfect,	20,	1,	1,	0.834044,	0.00613155,	7e-07,	0.000168196,	0.0455375,	0.0568669,	0.657266,	0.0668068
Perfect,	21,	1,	1,	0.996507,	0.00746646,	5e-07,	0.000191996,	0.0556231,	0.0699618,	0.785414,	0.077143
Perfect,	22,	1,	1,	1.2434,	0.00944032,	7e-07,	0.000223595,	0.0683073,	0.0856299,	0.986938,	0.0919459
Perfect,	23,	1,	1,	1.48144,	0.0128397,	8e-07,	0.000242595,	0.0832429,	0.102528,	1.17744,	0.104271
Perfect,	24,	1,	1,	1.94999,	0.0142778,	2.5e-06,	0.000251395,	0.101632,	0.127765,	1.57148,	0.133597
Perfect,	25,	1,	1,	2.42176,	0.0179077,	7e-07,	0.000282894,	0.119906,	0.154601,	1.96887,	0.158917
Perfect,	26,	1,	1,	2.93414,	0.0194154,	7e-07,	0.000338993,	0.141066,	0.176469,	2.40861,	0.186843
Perfect,	27,	1,	1,	3.50034,	0.0238892,	7e-07,	0.000364692,	0.16554,	0.213432,	2.88158,	0.213761
Perfect,	28,	1,	1,	4.39547,	0.0276041,	2.9e-06,	0.000397292,	0.195019,	0.255536,	3.65362,	0.26122
Perfect,	29,	1,	1,	5.2852,	0.0315519,	2.8e-06,	0.000429792,	0.22651,	0.288812,	4.4218,	0.314114
Perfect,	30,	1,	1,	6.54001,	0.0374844,	1.1e-06,	0.000455891,	0.2668,	0.347918,	5.50989,	0.374893
Perfect,	31,	1,	1,	8.08214,	0.0448404,	9e-07,	0.000851779,	0.372905,	0.41342,	6.76383,	0.478436
Perfect,	32,	1,	1,	10.0796,	0.0531261,	1e-06,	0.000529288,	0.41772,	0.481604,	8.5391,	0.580009
Perfect,	33,	1,	1,	11.2498,	0.0582481,	9e-07,	0.000545388,	0.479672,	0.549978,	9.50302,	0.650205
Perfect,	34,	1,	1,	13.1556,	0.0663275,	9e-07,	0.000608889,	0.57209,	0.598382,	11.1593,	0.749018
Perfect,	35,	1,	1,	14.9451,	0.0745606,	9e-07,	0.000642687,	0.652586,	0.670783,	12.697,	0.838862
Perfect,	36,	1,	1,	17.0227,	0.0811721,	1.5e-06,	0.000743686,	0.724153,	0.755913,	14.5188,	0.930972
Perfect,	37,	1,	1,	18.7006,	0.0889167,	8e-07,	0.000766784,	0.813664,	0.849181,	15.9161,	1.01941
Perfect,	38,	1,	1,	20.749,	0.10258,	1e-06,	0.000834182,	0.922887,	0.926831,	17.6681,	1.11435
Perfect,	39,	1,	1,	22.6624,	0.110179,	8e-07,	0.000858583,	1.0214,	1.05981,	19.2705,	1.18461
